Company Name,Website,City / Location,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,C1 Manufacturer Score,C1 Evidence,C2 India Score,C2 Evidence,C3 Differentiation Score,C3 Evidence,C4 Tech DM Score,C4 Evidence,C5 Tailwind Score,C5 Evidence,C6 Growth Score,C6 Evidence,Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Athenese Dx Private Limited,athenesedx.com,Chennai (Taramani / TICEL Bio Park II),Specialty Diagnostics (IVD),Rapid test kits (TRUSTline); ELISA kits; clinical chemistry reagents (TRUEchemie); fluorescence immunoassay; molecular diagnostics real-time PCR kits; ALTA branded diagnostic instruments,Rs.50–100Cr (Rs.72.7Cr FY23; growing),Arunkumar Chakravarthy (Director / Co-founder) + Selvaraju Govindasamy (Director),Director & Co-founder,"Biotech / diagnostics sector leadership. Third director Catherine Yaping Chen (possibly international partner). DSIR-recognized R&D unit signals scientific leadership team.",Strong,Own manufacturing facility at TICEL Bio Park II Chennai. Produces finished IVD products — rapid tests + ELISA kits + clinical chemistry reagents + instruments — under proprietary brands TRUSTline and TRUEchemie and ALTA. Not a trader.,Strong,Manufacturing and headquarters at TICEL Bio Park II Taramani Chennai. Indian promoter-owned private limited company.,Strong,"DSIR-recognized R&D unit — official government recognition of in-house R&D capability. Proprietary brands (TRUSTline rapid tests; TRUEchemie reagents; ALTA instruments). Portfolio covers 25+ infectious disease targets. Evolved from 'importing for India' to 'Made in India for world' positioning.",Moderate,"Director-level technical leadership confirmed by DSIR recognition and scientific team cited on website. Specific academic credentials of founders not publicly published — scored moderate rather than strong.",Strong,"Make in India for medical devices; PLI scheme for IVD; ICMR's push for domestic diagnostics after COVID; India's chronic disease burden driving demand for affordable IVD products.",Strong,"329 employees as of Oct 2024 — 5% YoY headcount growth. Website actively updated (2025 product launches). Active customer meets and partner events in Dec 2025 and Apr 2026 documented. DSIR recognition is a recent quality signal. Signals met: Hiring + Website (2 of 5).",80,A — Strong Federer,Pass,"DSIR-recognized IVD manufacturer with proprietary brands across multiple diagnostic modalities. Revenue ~Rs.73Cr with active headcount growth. Strongest Chennai-based specialty diagnostics manufacturer in this ICP band. Caveat: founder technical background is not fully public-documented — verify in first conversation.","DSIR-recognized R&D unit that evolved from importing to manufacturing — now developing rapid tests for 25+ infectious disease targets under proprietary TRUSTline brand from a dedicated facility inside Chennai's TICEL Bio Park.","athenesedx.com; tracxn.com/athenese-dx; tofler.in (CIN U85100TN2012PTC084632); DSIR recognition list"
GreenSignal Bio Pharma Private Limited,gsbpl.com,Chennai (Kodambakkam HQ; Gummidipoondi manufacturing),Specialty Biotech (Human Biologics / Vaccines),"BCG vaccine (freeze-dried IP and BP formulations); BCG ONCO for bladder cancer immunotherapy; pipeline: mumps, measles, rubella, tetanus, rabies vaccines",Rs.100–300Cr (revenue estimated from authorized capital Rs.415Cr and 360M dose capacity; RocketReach estimate ~$19.8M ≈ Rs.165Cr),P. Sundaraparipoornan (Founder) + Murali Pakshirajan (MD) + Chandrasekaran Eklaspuram Sorubanandam (WTD),Founder + Managing Director,"Sundaraparipoornan — biotech / pharma background. WHO qualification and government immunization program track record implies strong regulatory and technical capability at leadership level.",Strong,"Dedicated BCG vaccine manufacturing plant at Gummidipoondi with two production lines — capacity 360M doses annually. Vertically integrated from fermentation to finished vaccine. Not a distributor or CRO.",Strong,"HQ Kodambakkam Chennai; manufacturing Gummidipoondi (Chennai metro region). Indian-owned private company.",Strong,"One of only four globally WHO-prequalified manufacturers of BCG vaccine for UNICEF supply. One of only two BCG suppliers in India. WHO GMP compliance. BCG ONCO product extends into cancer immunotherapy — differentiated beyond basic vaccine.",Moderate,"Promoter background not fully published. Sundaraparipoornan founded in 2005 and built to WHO prequalification — implies strong technical capability, but no public IIT/PhD credentials found. Scored moderate.",Strong,"Tuberculosis elimination remains a government priority; BCG is in Universal Immunization Programme. WHO prioritizing supply security for BCG globally after supply shortages. BCG ONCO growing as bladder cancer immunotherapy.",Weak,"Revenue declined 51% in FY22. No recent expansion announcements or facility news found. Website not actively updated with press/news. 0 signals from the growth threshold table — stagnant trajectory despite strong moat. Requires further investigation before including in priority list.",55,C — Borderline,Borderline — Research Further,"Extraordinary differentiation (only 4 WHO-prequalified BCG manufacturers globally) but revenue is declining and growth signals are absent. The moat is real but the company may be in survival mode rather than growth mode. Before outreach, verify: (1) current revenue trajectory from MCA FY24/25; (2) any expansion into BCG ONCO market which is a growth vector. If pipeline activity is confirmed, upgrades to B-band.",One of only four companies globally that WHO has prequalified to supply BCG vaccine — they supply to UNICEF for children's immunization across emerging markets and are expanding into BCG ONCO for bladder cancer immunotherapy.,"gsbpl.com; dcvmn.org/member/gsbpl; indiamart.com/green-signal-bio-pharma; thecompanycheck.com (CIN U24232TN2005PTC058068)"
Proklean Technologies Private Limited,proklean.com,Chennai,Specialty Biotech (Industrial Biotech — bio-based surfactants),"Bio-based biosurfactant cleaning products for industrial, institutional, and domestic use; fermentation-derived sophorolipids; certified green cleaning concentrates",Rs.50–100Cr (EasyLeadz revenue estimate Rs.51–100Cr range; 51–100 employees),Sriram Bharatam (Co-founder & CEO),Co-founder & CEO,"IIT Madras alumni (confirmed on multiple sources). Technical pedigree — IIT degree in chemical or biotech engineering. Founded deep-tech company from academic/research base.",Strong,"Manufacturing fermentation-based biosurfactant products. Physical product — bio-cleaning concentrates. Own production facility. Not a service company.",Strong,HQ Chennai. Indian promoter-owned startup.,Strong,"First Indian company commercializing sophorolipid-based biosurfactants. ECOCERT certified (international green chemistry certification). Products certified by Green Chemistry Council. Niche fermentation chemistry — hard to replicate at industrial scale.",Strong,"IIT Madras alumni. Technical founder in deep biotech / fermentation. Classic Federer technical DM profile.",Strong,"Green chemistry; Make in India for bio-based products; ESG mandates from large corporates driving demand for certified biosurfactants; Chemical+1 opportunity as MNCs seek non-petroleum surfactant alternatives.",Moderate,"Active LinkedIn and website (2024–25 content). Clients include large FMCG and institutional customers. Revenue is growing but limited public visibility on facility expansion. 1 signal: Website active (1 of 5).",75,B — Probable Federer,Pass,"IIT Madras-founded specialty biotech with a genuine niche — India's first commercial sophorolipid biosurfactant manufacturer. Strong C3 and C4. Revenue in the Rs.50–100Cr range and growing. C6 is moderate — verify hiring activity on LinkedIn before outreach.","IIT Madras alumni founding team that commercialized India's first sophorolipid-based biosurfactant — an ECOCERT-certified fermentation product now used by large FMCG companies as a petroleum-free cleaning base.","proklean.com; EasyLeadz profile; IIT Madras alumni records; ECOCERT certification records"
Leucine Rich Bio Private Limited,leuros.com,Chennai (Sholinganallur / OMR corridor),Specialty Biotech (Microbiome + Genomics),"India's first microbiome-focused genomics company; gut microbiome testing kits; pathogen genomics panels; agricultural microbiome products",<Rs.30Cr (early-stage; funded startup),Deepak Bhatt (Co-founder & CEO),Co-founder & CEO,IIT Madras alumni. Deep biotech/genomics technical background. Founded from academic research context.,Moderate,"Products are physical test kits and genomic panels — physical goods. However, company is early-stage and manufacturing scale is limited. Scored moderate.",Strong,Chennai HQ and lab. Indian founder-owned.,Strong,"India's first microbiome-focused genomics company — a rare and defensible position. Proprietary databases of Indian microbiome variants (critical for accuracy for Indian gut flora patterns). Products not available from generic suppliers.",Strong,IIT Madras alumni founder. Deep technical and academic biotech background.,Strong,"Microbiome diagnostics globally growing at 12–15% CAGR. India's 1.4B population with unique gut microbiome patterns creates defensible domestic market. Gut health as preventive care gaining consumer and institutional traction.",Weak,"Early-stage; limited public evidence of major facility expansion or headcount surge. Website active. No visible revenue growth data. Signals met: 0–1 of 5.",55,C — Borderline,Borderline — Include with Caveat,"Exceptional C3 (first-mover in microbiome genomics for India) and strong C4 (IIT technical founder). Revenue is very small (<Rs.30Cr) and growth signals are limited. Similar to Lazuline Biotech in the sample — strong on differentiation but small scale. Include with explicit caveat on revenue.","India's first microbiome-focused genomics company — building proprietary databases of Indian gut microbiome variants to make diagnostic panels accurate for Indian patients, a gap that imported tests cannot fill.","leuros.com; F6S profile; IIT Madras alumni records; BioSpectrum India coverage"
Equinox Labs Private Limited,equinoxlabs.in,Chennai,Specialty Diagnostics (Food Safety + Environmental Testing),"NABL-accredited food testing laboratory; food safety testing panels; environmental water and air testing; third-party audit and inspection services for food manufacturers",Rs.30–100Cr,Mrunal Bhatt / Siddharth Bhatt (Co-founders),Co-founders,Technical founders with food science / analytical chemistry background. NABL accreditation requires significant technical depth.,Weak,"NABL-accredited testing laboratory. THIS IS A SERVICE COMPANY — it tests products but does not manufacture physical goods. Fails C1. The segment (food safety testing) is adjacent to specialty diagnostics but Equinox sells testing services, not diagnostic products.",Strong,Chennai HQ and labs. Indian founder-owned.,Moderate,NABL accreditation and multi-parameter testing panels are specialized. But it is a service company.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,0,D — Auto-disqualify,Fail — Service Company (C1),"Testing laboratory / analytical service provider. Fails C1. Sells testing services to food manufacturers — does not produce a physical product. This is a common ICP trap: NABL labs and food testing companies operate in adjacent spaces but are service businesses, not manufacturers. Exclude from pipeline.",—,"equinoxlabs.in; NABL accreditation list; company website"
Proklone Cell Technologies Private Limited,proklone.com,Chennai (Guindy),Specialty Biotech (Cell Lines + Biologics Research Tools),"Human cell lines for biomedical research; primary cell isolation kits; reagents for cell biology applications; custom cell banking services",<Rs.30Cr,Dr. N. Rajendran (Founder),Founder & CEO,"PhD in cell biology / biotechnology. Over 20 years experience in cell culture. Scientist-founder profile.",Moderate,"Produces physical products (cell lines; isolation kits; reagents) but scale is very small. Manufacturing capability confirmed but limited. Scored moderate.",Strong,Guindy Chennai HQ and production facility. Indian scientist-founded.,Strong,"Only dedicated cell line supplier and cell banking service in Chennai/Tamil Nadu. Products require specialized GMP-grade cell culture expertise. Proprietary isolates.",Strong,PhD founder with 20+ years in cell biology. Classic scientist-entrepreneur profile.,Moderate,"Biologics manufacturing requires human cell lines — growing demand from India's biosimilar and vaccine sector. Tamil Nadu biotech policy supports this segment.",Weak,"Very small company (<Rs.30Cr). Limited public growth signals. Website last updated not confirmed. Signals met: 0 of 5.",55,C — Borderline,Borderline — Verify Before Including,"Genuine scientist-founder and real differentiation (dedicated cell line manufacturer for Tamil Nadu region) but tiny scale and no visible growth signals. Verify current website activity and any recent client wins before including in priority outreach.",Dedicated cell line manufacturer and cell banking provider for Tamil Nadu's growing biologics and biosimilar industry — filling a critical reagent gap that most Indian biopharma companies currently import.,"proklone.com; company registration data; TICEL Bio Park tenant list cross-reference"
Mylab Discovery Solutions Private Limited,mylabglobal.com,Pune (not Chennai — included as comparator / FAIL for city criterion),Specialty Diagnostics (Molecular Diagnostics),"Molecular PCR diagnostic kits for TB, HIV, dengue, COVID-19; compact PCR instruments; point-of-care lateral flow assays; food safety diagnostic kits",Rs.100–300Cr (Rs.153Cr FY24),Rahul Patil (CEO) + Hasmukh Rawal (Co-founder),CEO + Co-founder,Hasmukh Rawal — pharma / diagnostics sector background. Technical leadership team in molecular diagnostics.,Strong,"Dedicated manufacturing plant in Lonavala Maharashtra. Produces finished diagnostic kits and instruments. Asia's first ID-NAT test developer.",Weak,"Lonavala Maharashtra — NOT Chennai. Operational headquarters is Pune/Lonavala. No confirmed manufacturing or founder presence in Chennai. Fails C2 for Chennai-specific list.",Strong,"Asia's first ID-NAT approval for blood donor screening. India's first COVID-19 RT-PCR kit. WHO-endorsed TB test. Multiple first-mover positions in molecular diagnostics.",Strong,"Technical founders with deep diagnostics expertise. Rahul Patil CEO with molecular biology background.",Strong,"Molecular diagnostics globally growing. TB elimination priority. Blood safety for 30M+ annual blood transfusions in India.",Strong,"Revenue Rs.153Cr FY24 (23% CAGR). Active product launches 2023–25. 437 employees. Signals met: Financial + Hiring + Website (3 of 5).",0,D — Fail (City),Fail — Not Chennai-based,"Strong ICP match on all criteria EXCEPT C2 — manufacturing and HQ are in Maharashtra, not Chennai. Included here as a documented fail to show the city-verification step. A strong company in the wrong geography. If scope expands to Maharashtra, this is an A-band target.",—,"mylabglobal.com; tracxn.com Mylab profile; thecompanycheck.com (CIN U74999PN2016PTC164780)"
NovaBay Biopharma India Private Limited (Sathguru Bioanalytix),sathguru.com,Chennai (Anna Nagar / Guindy),Specialty Biotech (Bioanalytical Testing Services),"Bioanalytical method development; PK/PD studies; biosimilar characterization services; analytical testing for pharma clients",Rs.30–100Cr,Dr. P. Bhaskara Rao (Managing Partner — Sathguru Group),Managing Partner,PhD in chemistry. Long career in analytical chemistry and bioanalytical services.,Weak,"Contract bioanalytical testing organization — sells services to pharma companies. DOES NOT manufacture physical products. Fails C1. Included as a documented failure of the CRO trap.",Strong,Chennai-based operations. Indian promoter.,Moderate,Specialized bioanalytical capabilities but service-based.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,Not scored,Not scored — disqualified at C1.,0,D — Auto-disqualify,Fail — CRO / Service Company (C1),"Bioanalytical CRO. Sells testing and method development services to pharma clients — does not manufacture products. Fails C1. Important Chennai-specific pattern: several companies in Anna Nagar and Guindy present as biotech but are actually CROs or analytical service providers. Always verify that the company produces a physical product.",—,sathguru.com; company descriptions on IndiaMART and LinkedIn
Agappe Diagnostics Limited,agappe.com,Kochi Kerala (NOT Chennai — documented fail),Specialty Diagnostics (IVD — Clinical Chemistry + Hematology),"Clinical chemistry reagents; hematology analyzers (MISPA Count-X); coagulation analyzers; immunoturbidimetry kits; CLEIA immunoassay systems",">Rs.500Cr (Rs.521Cr FY25 — auto-disqualify on revenue)",Thomas Jacob Kalappila (Chairman) + leadership team,Chairman + Board,Technical leadership confirmed — ICMED certified; strong board. WHO-GMP and ISO 13485 certified manufacturing facility Cochin.,Strong,"Large-scale IVD manufacturing facility in Cochin Kerala (80,000 sq ft GMP plant). Produces reagents and instruments.",Weak,"Headquarters and manufacturing in Cochin Kerala — NOT Chennai. Registered office recently shifted to Mumbai. No primary manufacturing or founder presence in Chennai. Fails C2 for Chennai-specific list.",Strong,"WHO-GMP; ISO 9001; ISO 13485; ICMED certified. Own analyzer brands (MISPA series). CLEIA technology partnership with Fujirebio Japan. 17% revenue CAGR.",Strong,Technical leadership confirmed by certifications and R&D investment.,Strong,IVD tailwinds strong — PLI for medical devices; export push; Atmanirbhar Bharat.,Strong,"Rs.521Cr FY25 (17% CAGR). EBITDA up 71%. Active hiring. New products 2024–25. Strong signals: Financial + Hiring + Certifications.",0,D — Fail (Revenue + City),"Fail — Revenue >Rs.500Cr AND Not Chennai-based","Two automatic disqualifiers: (1) Revenue Rs.521Cr FY25 exceeds Rs.500Cr ceiling. (2) Manufacturing and HQ in Cochin/Kerala, not Chennai. Both disqualifiers would independently exclude this company. On all 6 Federer criteria it would score very high — a textbook example of a company that has outgrown the ICP.",—,"agappe.com; tracxn.com Agappe profile (CIN U24239MH1998PLC115413); Tofler financials FY25"
Trivitron Healthcare Private Limited,trivitron.com,Chennai (Abhiramapuram HQ + manufacturing near Chennai),Specialty Diagnostics + Medical Devices (IVD + Imaging),"IVD instruments and reagents; imaging/radiology equipment; newborn screening kits; ICU/critical care devices; point-of-care devices; 15 manufacturing facilities globally",">Rs.500Cr (Rs.700Cr+ stated revenue; auto-disqualify)",Dr. GSK Velu (Founder & Chairman),Founder & Chairman,"BITS Pilani engineer. 30+ years in healthcare / medtech. FICCI Tamil Nadu chair. Serial entrepreneur. Strong technical domain knowledge in IVD and medical devices.",Strong,"15 manufacturing facilities including 9 in India. In-house R&D centers in Chennai, Mumbai, Helsinki, Ankara. Produces own-brand IVD instruments and reagents.",Strong,"HQ Abhiramapuram Chennai. Primary R&D and leadership in Chennai. Manufacturing park near Chennai (Trivitron Medical Technology Park).",Strong,"Largest Indian-origin medtech company. AS9100-equivalent quality systems. Multiple proprietary product lines. R&D partnerships with Turku/Tampere University Finland and Anna University Chennai.",Strong,"BITS Pilani technical founder. 30+ years medical device / IVD experience. Built from Rs.25L to Rs.700Cr+ organically. Strong personal technical and commercial DNA.",Strong,"Make in India for medical devices; PLI scheme; IVD export push; Atmanirbhar Bharat. Trivitron is a flagship beneficiary of all these policies.",Strong,"Rs.700Cr+ revenue; 35,000+ group employees; 180+ country presence; active R&D expansion. All 5 growth signals met.",0,D — Auto-disqualify (Revenue),Fail — Revenue >Rs.500Cr,"Revenue is Rs.700Cr+ — far above the Rs.500Cr ceiling. On all 6 Federer criteria this is a near-perfect score. But it has outgrown our ICP. GSK Velu would also likely not be the right contact — the organization is large enough that operations are delegation-heavy. Document as a 'graduated' company for reference.",—,"trivitron.com; yourstory.com/smbstory/trivitron; Business Standard March 2026 interview; everybodywiki Dr GSK Velu"
